yAxis	xAxis
1341	3.2
1342	2.9
1343	2.8
1344	2.6
1345	2.1
1346	1.3
1347	-0.2
1348	0.1
1349	0.9
1350	1.9
1351	2.1
1352	2.1
1353	2.1
1354	1.6
1355	1.6
1356	1.8
1357	1.6
1358	1.3
1359	1.3
1360	1.3
1361	1.1
1362	1.1
1363	1.1
1364	1.1
1365	1.3
1366	1.5
1367	1.6
1368	1.5
1369	1.5
1370	1.5
1371	1.3
1372	1.6
1373	2.1
1374	2.4
1375	2.6
1376	2.9
1377	2.6
1378	2.9
1379	2.9
1380	3.2
1381	3.5
1382	3.7
1383	3.4
1384	3.2
1385	2.9
1386	2.8
1387	2.9
1388	2.9
1389	3.1
1390	3.2
1391	3.2
1392	3.2
1393	3.1
1394	3.1
1395	3.0
1396	3.0
1397	2.9
1398	2.8
1399	2.9
1400	2.8
1401	2.6
1402	2.4
1403	2.4
1404	3.5
1405	2.7
1406	3.4
1407	2.4
1408	2.9
1409	2.9
1410	3.1
1411	2.9
1412	2.6
1413	2.4
1414	2.3
1415	2.4
1416	2.9
1417	2.9
1418	2.3
1419	1.6
1420	1.3
1421	2.0
1422	2.1
1423	2.7
1424	3.5
1425	4.4
1426	4.4
1427	4.5
1428	4.5
1429	4.8
1430	2.1
1431	2.3
1432	2.3
1433	2.8
1434	2.9
1435	3.2
1436	3.5
1437	3.7
1438	4.0
1439	4.0
1440	3.8
1441	3.8
1442	3.5
1443	3.6
1444	3.7
1445	3.5
1446	3.5
1447	3.4
1448	3.5
1449	4.0
1450	4.9
1451	5.0
1452	5.6
1453	4.4
1454	3.9
1455	3.1
1456	3.4
1457	2.9
1458	2.9
1459	3.1
1460	3.4
1461	3.2
1462	2.9
1463	2.7
1464	2.6
1465	2.6
1466	2.6
1467	2.8
1468	2.8
1469	2.9
1470	2.9
1471	3.3
1472	3.9
1473	4.3
1474	4.5
1475	5.3
1476	6.0
1477	5.7
1478	6.0
1479	5.4
1480	5.4
1481	4.9
1482	4.0
1483	3.5
1484	2.9
1485	2.7
1486	2.4
1487	2.1
1488	1.8
1489	1.6
1490	1.0
1491	0.0
1492	-0.1
1493	0.3
1494	0.4
1495	1.2
1496	1.5
1497	1.8
1498	3.4
1499	4.4
1500	4.4
1501	4.9
1502	3.9
1503	3.8
1504	3.5
1505	3.5
1506	3.3
1507	2.6
1508	2.3
1509	2.1
1510	2.3
1511	1.6
1512	1.5
1513	1.0
1514	0.6
1515	0.4
1516	0.7
1517	0.9
1518	0.6
1519	0.9
1520	1.8
1521	2.9
1522	3.9
1523	4.2
1524	6.2
1525	6.7
1526	7.4
1527	5.0
1528	4.0
1529	3.8
1530	2.8
1531	2.6
1532	3.3
1533	3.1
1534	2.9
1535	2.7
1536	2.4
1537	2.2
1538	2.1
1539	2.6
1540	2.6
1541	2.8
1542	3.2
1543	3.3
1544	3.4
1545	3.5
1546	3.8
1547	4.5
1548	5.3
1549	5.3
1550	7.0
1551	7.4
1552	6.0
1553	5.3
1554	4.9
1555	4.1
1556	4.0
1557	3.6
1558	3.7
1559	3.5
1560	3.1
1561	3.4
1562	3.4
1563	3.2
1564	3.7
1565	4.4
1566	4.4
1567	5.0
1568	4.5
1569	4.8
1570	4.6
1571	5.1
1572	4.9
1573	4.5
1574	4.5
1575	4.9
1576	5.1
1577	5.4
1578	5.3
1579	5.3
1580	5.4
1581	5.3
1582	5.3
1583	5.0
1584	5.4
1585	4.9
1586	4.9
1587	4.9
1588	5.0
1589	4.9
1590	5.2
1591	5.1
1592	5.3
1593	5.7
1594	7.0
1595	6.8
1596	7.4
1597	7.3
1598	7.3
1599	7.1
1600	6.8
1601	6.5
1602	5.9
1603	5.6
1604	5.4
1605	5.6
1606	6.2
1607	5.8
1608	5.4
1609	5.4
1610	4.8
1611	4.9
1612	4.6
1613	5.1
1614	7.8
1615	7.6
1616	7.4
1617	8.2
1618	10.1
1619	10.1
1620	12.2
1621	11.7
1622	12.5
1623	12.8
1624	12.0
1625	7.8
1626	8.5
1627	5.7
1628	6.2
1629	5.7
1630	4.9
1631	3.6
1632	3.9
1633	3.9
1634	3.6
1635	3.4
1636	3.7
1637	3.7
1638	4.3
1639	4.9
1640	4.5
1641	4.8
1642	4.9
1643	6.8
1644	7.9
1645	7.7
1646	7.6
1647	9.9
1648	8.3
1649	7.8
1650	7.0
1651	6.3
1652	6.0
1653	5.5
1654	4.9
1655	4.6
1656	5.3
1657	6.0
1658	5.3
1659	4.8
1660	4.3
1661	3.9
1662	3.9
1663	4.0
1664	4.4
1665	4.7
1666	4.5
1667	4.5
1668	4.5
1669	4.6
1670	4.3
1671	4.4
1672	4.0
1673	3.8
1674	3.7
1675	3.5
1676	3.1
1677	2.4
1678	2.4
1679	2.1
1680	1.8
1681	2.0
1682	1.8
1683	1.7
1684	1.8
1685	1.6
1686	1.8
1687	2.0
1688	2.8
1689	2.9
1690	3.3
1691	3.5
1692	3.5
1693	3.5
1694	3.8
1695	3.9
1696	3.5
1697	3.2
1698	2.9
1699	2.2
1700	1.6
1701	1.5
1702	1.6
1703	1.6
1704	1.5
1705	1.1
1706	1.3
1707	1.5
1708	1.6
1709	1.6
1710	2.0
1711	2.8
1712	4.0
1713	4.7
1714	4.8
1715	5.5
1716	5.8
1717	4.4
1718	4.0
1719	5.7
1720	4.9
1721	3.9
1722	3.1
1723	2.6
1724	2.1
1725	2.1
1726	1.8
1727	2.0
1728	2.1
1729	2.6
1730	2.6
1731	2.6
1732	2.4
1733	2.6
1734	2.9
1735	3.6
1736	4.8
1737	3.4
1738	3.5
1739	3.5
1740	3.5
1741	3.5
1742	3.4
1743	3.4
1744	3.3
1745	3.2
1746	3.2
1747	3.2
1748	3.1
1749	3.1
1750	2.8
1751	2.7
1752	3.1
1753	3.5
1754	3.5
1755	3.8
1756	3.3
1757	2.7
1758	2.6
1759	4.9
1760	5.7
1761	6.3
1762	6.4
1763	5.7
1764	5.0
1765	5.0
1766	4.9
1767	4.5
1768	4.5
1769	3.9
1770	3.5
1771	3.8
1772	4.1
1773	4.5
1774	3.7
1775	4.6
1776	4.5
1777	4.0
1778	4.0
1779	4.0
1780	4.5
1781	4.8
1782	4.8
1783	4.9
1784	6.0
1785	6.5
1786	6.5
1787	6.3
1788	6.6
1789	7.0
1790	6.3
1791	6.2
1792	5.7
1793	5.3
1794	4.9
1795	4.9
1796	5.1
1797	5.0
1798	5.3
1799	6.0
1800	5.0
1801	4.4
1802	4.6
1803	4.9
1804	5.0
1805	4.9
1806	4.9
1807	6.0
1808	7.1
1809	7.2
1810	7.4
1811	7.9
1812	8.2
1813	7.7
1814	7.9
1815	7.3
1816	6.7
1817	6.0
1818	5.0
1819	5.9
1820	6.7
1821	6.7
1822	6.0
1823	6.0
1824	6.0
1825	6.0
1826	5.1
1827	4.9
1828	4.5
1829	4.0
1830	4.3
1831	6.0
1832	7.3
1833	8.8
1834	9.6
1835	10.4
1836	7.6
1837	10.2
1838	10.5
1839	10.5
1840	10.1
1841	7.8
1842	4.6
1843	4.1
1844	4.0
1845	2.9
1846	2.7
1847	1.8
1848	1.3
1849	1.0
1850	0.7
1851	1.6
1852	0.6
1853	0.7
1854	0.9
1855	1.0
1856	1.3
1857	2.4
1858	3.7
1859	3.7
1860	5.2
1861	6.5
1862	7.5
1863	8.3
1864	8.9
1865	6.5
1866	5.9
1867	5.5
1868	5.5
1869	5.1
1870	4.8
1871	4.2
1872	4.0
1873	3.8
1874	4.0
1875	3.5
1876	3.4
1877	3.6
1878	3.4
1879	3.7
1880	3.9
1881	4.0
1882	4.4
1883	4.6
1884	5.0
1885	5.4
1886	5.5
1887	6.9
1888	6.7
1889	5.9
1890	5.8
1891	5.9
1892	5.4
1893	5.1
1894	4.9
1895	4.6
1896	4.6
1897	4.4
1898	4.5
1899	4.3
1900	4.3
1901	4.3
1902	4.0
1903	1.7
1904	0.7
1905	0.4
1906	0.1
1907	0.4
1908	0.5
1909	2.0
1910	2.0
1911	1.2
1912	1.1
1913	0.6
1914	0.6
1915	0.4
1916	0.1
1917	0.6
1918	-0.3
1919	-0.5
1920	-0.7
1921	-0.6
1922	-0.7
1923	-1.3
1924	-2.1
1925	-2.3
1926	-2.0
1927	-0.3
1928	-1.1
1929	0.2
1930	1.3
1931	2.0
1932	2.4
1933	3.1
1934	3.5
1935	3.5
1936	3.4
1937	3.1
1938	2.9
1939	2.7
1940	2.3
1941	2.0
1942	2.0
1943	1.8
1944	1.8
1945	1.8
1946	2.0
1947	1.6
1948	1.6
1949	1.6
1950	1.9
1951	2.3
1952	3.0
1953	4.3
1954	5.1
1955	4.6
1956	5.0
1957	4.8
1958	4.8
1959	5.0
1960	4.5
1961	4.4
1962	4.3
1963	4.1
1964	4.1
1965	4.1
1966	4.2
1967	4.0
1968	3.7
1969	3.7
1970	3.7
1971	3.5
1972	3.5
1973	3.6
1974	3.7
1975	3.9
1976	5.0
1977	8.0
1978	6.5
1979	6.7
1980	6.5
1981	6.8
1982	7.0
1983	6.3
1984	7.1
1985	6.5
1986	5.5
1987	5.3
1988	5.0
1989	4.5
1990	3.9
1991	3.1
1992	4.2
1993	2.6
1994	2.8
1995	3.1
1996	2.9
1997	3.1
1998	3.1
1999	3.2
2000	3.9
2001	4.1
2002	4.1
2003	4.0
2004	4.0
2005	4.0
2006	4.0
2007	3.5
2008	3.3
2009	2.6
2010	2.3
2011	2.0
2012	1.6
2013	1.6
2014	2.1
2015	2.0
2016	2.6
2017	3.1
2018	3.3
2019	3.5
2020	3.8
2021	4.0
2022	4.5
2023	5.1
2024	5.5
2025	5.7
2026	6.0
2027	6.0
2028	6.2
2029	6.3
2030	6.7
2031	6.1
2032	6.1
2033	5.8
2034	5.4
2035	5.7
2036	5.7
2037	5.9
2038	5.6
2039	5.5
2040	4.8
2041	5.0
2042	5.0
2043	5.0
2044	4.5
2045	4.6
2046	4.9
2047	4.5
2048	4.5
2049	5.1
2050	5.5
2051	5.9
2052	5.6
2053	6.2
2054	5.5
2055	5.9
2056	5.7
2057	5.4
2058	5.1
2059	5.4
2060	4.3
2061	4.3
2062	4.0
2063	4.0
2064	4.0
2065	4.0
2066	3.4
2067	3.3
2068	3.2
2069	2.8
2070	2.6
2071	3.1
2072	4.4
2073	6.1
2074	5.4
2075	5.9
2076	6.0
2077	5.5
2078	5.7
2079	5.7
2080	5.8
2081	6.2
2082	5.4
2083	4.8
2084	4.5
2085	4.4
2086	4.3
2087	4.0
2088	4.1
2089	4.5
2090	5.0
2091	4.9
2092	4.8
2093	4.9
2094	4.8
2095	4.3
2096	3.8
2097	3.9
2098	4.3
2099	5.0
2100	5.7
2101	5.4
2102	5.7
2103	6.5
2104	7.0
2105	7.0
2106	5.9
2107	6.0
2108	5.6
2109	5.6
2110	5.3
2111	5.1
2112	5.5
